name,country,location_city,website,employees,revenue_usd,clutch_rating,min_project_size_usd,is_wp_specialist,kaycore_fit_score,partnership_priority,web_pct,mobile_pct,custom_pct,cluster
Imaginovation,US,"Raleigh, NC",https://imaginovation.net/custom-web-mobile-app-development/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,29,4524000.0,4.915,75000,False,5,Medium,25.0,25.0,0.0,0
ChopDawg.com,US,"Boston, MA",https://www.chopdawg.com%3Futm_source%3Dclutch.co%26utm_medium%3Dreferrall%26utm_campaign%3Dus-web-developers,29,4524000.0,4.8105,1000,False,5,Medium,20.0,80.0,0.0,0
Plego,US,"Chicago, IL",https://www.plego.com/clutch-landing-page/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,29,4524000.0,5.026,25000,False,5,Medium,20.0,10.0,0.0,1
Utility,US,"Culver City, CA",https://utility.agency/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,83,12948000.0,4.826,50000,False,5,Medium,10.0,50.0,10.0,2
3 Media Web,US,"Marlborough, MA",https://www.3mediaweb.com/digital-experience/build/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,29,4524000.0,4.944,50000,False,5,Medium,40.0,0.0,0.0,1
Agency Partner Interactive LLC,US,"Plano, TX",https://agencypartner.com/web-design-and-development-lp/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,29,4524000.0,4.966,5000,False,5,Medium,10.0,20.0,0.0,1
Light IT Global,US,"San Jose, CA",https://light-it.net%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,25,3900000.0,4.952,25000,False,5,Medium,60.0,10.0,0.0,1
Marcel Digital,US,"Chicago, IL",https://www.marceldigital.com/contact%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,29,4524000.0,4.819,5000,False,5,Medium,40.0,0.0,0.0,1
The Gnar Company,US,"Needham, MA",https://www.thegnar.com/web-development%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,29,4524000.0,4.819,25000,False,5,Medium,30.0,30.0,0.0,0
SumatoSoft,US,"Boston, MA",http://sumatosoft.com/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_content%3Dmain%2520website%26utm_campaign%3DClutch,29,4524000.0,4.825,25000,False,5,Medium,25.0,20.0,0.0,1
Dedicated Developers,US,"Atlanta, GA",https://dedicateddevelopers.com/us/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,29,4524000.0,5.05,25000,False,5,Medium,35.0,65.0,0.0,0
thoughtbot,US,"New York, NY",https://thoughtbot.com/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,29,4524000.0,4.939,10000,False,5,Medium,30.0,25.0,10.0,0
Tekglide,US,"Darien, IL",https://tekglide.com/contact-us/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,29,4524000.0,4.836,10000,False,5,Medium,20.0,0.0,0.0,1
BrandExtract,US,"Houston, TX",https://www.brandextract.com/Contact/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,29,4524000.0,5.011,25000,False,5,Medium,30.0,0.0,0.0,1
